time	V(-y)	V(x)	V(z)
7.656163239455310e-07	0.000000e+00	-4.927275e-17	1.562392e-18
7.656163392043200e-07	3.700744e-17	2.189663e-19	1.562392e-18
7.656163697218981e-07	1.110223e-16	2.644091e-17	1.562392e-18
7.656164307570543e-07	7.401487e-17	9.082801e-18	1.562392e-18
7.656165528273669e-07	8.881784e-17	-8.120154e-18	1.562392e-18
7.656165833449450e-07	1.998401e-16	1.660521e-17	1.562392e-18
7.656165909743395e-07	1.480297e-16	1.995628e-17	1.562392e-18
7.656166062331286e-07	-3.700744e-17	5.386401e-18	1.562392e-18
7.656166367507067e-07	-2.220446e-17	-7.939433e-18	1.562392e-18
7.656166443801012e-07	0.000000e+00	7.709174e-18	1.562392e-18
7.656166596388903e-07	3.700744e-17	2.460579e-17	1.562392e-18
7.656166901564684e-07	1.480297e-16	3.502116e-18	1.562392e-18
7.656167511916246e-07	1.480297e-16	7.769766e-18	1.562392e-18
7.656168732619371e-07	-7.401487e-17	-1.040913e-17	1.562392e-18
7.656171174025621e-07	-1.114543e-16	-1.213527e-17	1.562392e-18
7.656171183562364e-07	-7.401486e-17	8.371855e-18	1.562392e-18
7.656171202635851e-07	-8.881784e-17	2.474362e-17	1.562392e-18
7.656171207404223e-07	-1.110223e-16	8.513462e-18	1.562392e-18
7.656171216940966e-07	-7.401488e-17	-1.919748e-17	1.562392e-18
7.656171236014453e-07	1.076580e-16	-1.610726e-17	1.562392e-18
7.656171236610499e-07	1.480298e-16	3.910248e-20	1.562392e-18
7.656171237802592e-07	1.332268e-16	-2.856619e-19	1.562392e-18
7.656171238100615e-07	3.700750e-17	-2.128319e-17	1.562392e-18
7.656171238696662e-07	-1.110223e-16	-6.177221e-17	1.562392e-18
7.656171238845673e-07	-7.401480e-17	-7.126713e-17	1.562392e-18
7.656171239143696e-07	-3.700729e-17	-7.445600e-17	1.562392e-18
7.656171239739743e-07	-1.998401e-16	-5.110573e-17	1.562392e-18
7.656171239888754e-07	-1.850373e-16	-5.379506e-17	1.562392e-18
7.656171240186777e-07	-3.700750e-17	-5.523618e-17	1.562392e-18
7.656171240782824e-07	3.361027e-18	-1.722124e-17	1.562392e-18
7.656171240801450e-07	-7.401374e-17	-1.310275e-17	1.562392e-18
7.656171240838702e-07	-1.850377e-16	6.061580e-18	1.562392e-18
7.656171240913208e-07	-7.401459e-17	1.762654e-17	1.562392e-18
7.656171241062219e-07	0.000000e+00	-2.996803e-18	1.562392e-18
7.656171241099472e-07	0.000000e+00	6.431098e-18	1.562392e-18
7.656171241173978e-07	0.000000e+00	-3.206020e-18	1.562392e-18
7.656171241322989e-07	-3.700729e-17	-5.331681e-17	1.562392e-18
7.656171241621012e-07	-1.110223e-16	-4.095161e-17	1.562392e-18
7.656171242217059e-07	-1.832132e-18	2.964954e-17	1.562392e-18
